(0.0555156,0)
(0.0642031,0)
(0.0835937,0)
(0.102734,0)
(0.0823984,0)
(0.104523,0)
(0.0730156,0)
(0.0648047,0)
(0.120156,0)
(0.0653828,0)
(0.0759297,0)
(0.0761953,0)
(0.138594,0)
(0.100977,0)
(0.0595625,0)
(0.137344,0)
(0.115891,0)
(0.0736875,0)
(0.0915781,0)
(0.0517656,0)
(0.0986484,0)
(0.0766094,0)
(0.0651484,0)
(0.0784141,0)
(0.102273,0)
(0.106563,0)
(0.132211,0)
(0.174742,0)
(0.175461,0)
(0.177391,0)
(0.0961641,0)
(0.0858984,0)
(0.0707656,0)
(0.126812,0)
(0.197992,0)
(0.139625,0)
(0.033,0)
(0.0515156,0)
(0.0761016,0)
(0.140703,0)
(0.13925,0)
(0.11025,0)
(0.107711,0)
(0.0592266,0)
(0.0803672,0)
(0.0834141,0)
(0.0504922,0)
(0.0727266,0)
(0.0505156,0)
(0.0646484,0)
(0.0635625,0)
(0.14757,0)
(0.180891,0)
(0.107156,0)
(0.0663906,0)
(0.101055,0)
(0.104727,0)
(0.107938,0)
(0.103656,0)
(0.0910391,0)
(0.0939531,0)
(0.131734,0)
(0.0460078,0)
(0.0712422,0)
(0.0486328,0)
(0.0800938,0)
(0.0899688,0)
(0.0974297,0)
(0.11075,0)
(0.11707,0)
(0.141875,0)
(0.122586,0)
(0.154219,0)
(0.149305,0)
(0.186195,0)
(0.194039,0)
(0.179789,0)
(0.137609,0)
(0.141797,0)
(0.0714141,0)
(0.0842031,0)
(0.159781,0)
(0.149898,0)
(0.15268,0)
(0.115594,0)
(0.126508,0)
(0.11475,0)
(0.172344,0)
(0.189812,0)
(0.136539,0)
(0.0514297,0)
(0.0699453,0)
(0.0486484,0)
(0.10557,0)
(0.155375,0)
(0.184453,0)
(0.192844,0)
(0.174984,0)
(0.196594,0)
(0.187789,0)
(0.135219,0)
(0.0908672,0)
(0.0926484,0)
(0.073625,0)
(0.0850469,0)
(0.113039,0)
(0.131203,0)
(0.148492,0)
(0.112523,0)
(0.0794297,0)
(0.125086,0)
(0.141797,0)
(0.143484,0)
(0.139375,0)
(0.146672,0)
(0.150422,0)
(0.195172,0)
(0.179086,0)
(0.176195,0)
(0.187602,0)
(0.183289,0)
(0.200117,0)
(0.178055,0)
(0.171078,0)
(0.136969,0)
(0.110727,0)
(0.0613828,0)
(0.104531,0)
(0.0945625,0)
(0.0739687,0)
(0.0787891,0)
(0.115906,0)
(0.164641,0)
(0.100672,0)
(0.106742,0)
(0.0579219,0)
(0.0537031,0)
(0.0505312,0)
(0.061375,0)
(0.0769219,0)
(0.169906,0)
(0.176141,0)
(0.128719,0)
(0.137039,0)
(0.0934609,0)
(0.0978906,0)
(0.0868828,0)
(0.124094,0)
(0.1405,0)
(0.124547,0)
(0.0874766,0)
(0.098875,0)
(0.100844,0)
(0.0873516,0)
(0.0661797,0)
(0.135563,0)
(0.193844,0)
(0.171898,0)
(0.177859,0)
(0.175,0)
(0.181984,0)
(0.186391,0)
(0.182734,0)
(0.109672,0)
(0.0935312,0)
(0.05525,0)
(0.0414531,0)
(0.0598984,0)
(0.0751719,0)
(0.0823203,0)
(0.0737969,0)
(0.136102,0)
(0.0946953,0)
(0.061375,0)
(0.0581406,0)
(0.0862109,0)
(0.138516,0)
(0.120656,0)
(0.0523828,0)
(0.0491875,0)
(0.0480156,0)
(0.0960859,0)
(0.163625,0)
(0.163898,0)
(0.0982656,0)
(0.0923125,0)
(0.067625,0)
(0.140734,0)
(0.131539,0)
(0.132375,0)
(0.131367,0)
(0.148938,0)
(0.199641,0)
(0.184539,0)
(0.18143,0)
(0.190617,0)
(0.169555,0)
(0.198961,0)
(0.116234,0)
(0.0815703,0)
(0.0901406,0)
